resource_name,matched_alias,label,article_topic_match,pmcid,paragraph_text
PANTHER,PANTHER,0,False,PMC12093177,"The PANTHER trial is a phase III multicentre randomised clinical trial, aimed to evaluate the efficacy of dose-dense versus standard adjuvant chemotherapy in early high-risk breast cancer (EHRBC) ( 1 )."
PANTHER,PANTHER,0,False,PMC12093177,"The primary outcome of the PANTHER trial was BCRFS, defined as time from randomization to the first local-, regional- or distant breast cancer recurrence or death due to breast cancer or last date of follow-up if no event has occurred."
PANTHER,PANTHER,0,False,PMC12093177,The PANTHER trial provides valuable insights into the benefits of tailored dose-dense chemotherapy.
PANTHER,PANTHER,0,False,PMC12093177,"The PANTHER study showed that the use of dose-dense chemotherapy was associated with a 20% improvement in BCRFS, a 22% improvement in EFS, defined as time from randomization to the first of the events breast cancer recurrence of any type, contralateral breast cancer, other malignancy or any cause of death, and a 21% improvement in distant disease-free survival (DDFS) [hazard ratio (HR) 0.80, 95% confidence interval (CI): 0.65–0.98; HR 0.78, 95% CI: 0.65–0.94; HR 0.79, 95% CI: 0.64–0.94, respectively] compared to the standard adjuvant chemotherapy group."
PANTHER,PANTHER,0,False,PMC12093177,"Additionally, the PANTHER trial indicated a 1.5% absolute increase in 10-year OS with dose-dense chemotherapy (16.6%) compared to the control arm (15.1%), although this difference was not statistically significant (HR 0.82, 95% CI: 0.65–1.04)."
PANTHER,PANTHER,0,False,PMC12028655,This study describes the development and validation of a real-time PCR-based laboratory-developed assay (LDA) on the Panther Fusion system for the simultaneous detection of Aspergillus fumigatus (AF) and Pneumocystis jirovecii (PJ) in bronchoalveolar lavage fluid (BALF) samples.
PANTHER,PANTHER,0,False,PMC12028655,"Rigorous optimization ensured compatibility with the automated workflow of the Panther Fusion system, which addresses challenges such as BALF viscosity and fungal DNA recovery."
PANTHER,PANTHER,0,False,PMC12028655,"The fully automated Panther Fusion system (Hologic, San Diego, CA, USA) for nucleic acid extraction and polymerase chain reaction (PCR), with its Open Access functionality, enables the adaptation of molecular-based assays for various targets, including influenza A virus subtyping [ 5 ], tickborne diseases [ 6 ], measles [ 7 ], clade II human mpox virus [ 8 ], and macrolide-associated mutations in Mycoplasma genitalium [ 9 ], alongside in vitro diagnostic (IVD) assays [ 10 ]."
PANTHER,PANTHER,0,False,PMC12028655,"In line with these efforts to leverage existing molecular infrastructures, such as SARS-CoV-2 testing platforms [ 11 ], to detect other critical pathogens, our assay builds on this approach by adapting the Panther Fusion system for the dual detection of A. fumigatus and P. jirovecii ."
PANTHER,PANTHER,0,False,PMC12028655,"This study describes the development and validation of an LDA using real-time PCR on the Panther Fusion system, marking its first application for the detection of fungal pathogens."
PANTHER,PANTHER,0,False,PMC11877999,"We prospectively evaluated its clinical performance against three reference rRT-PCR tests: Hologic Panther Fusion, Roche Cobas, and CDC 2019-nCoV RT-PCR Diagnostic Panel."
PANTHER,PANTHER,0,False,PMC11877999,"For 1,630 cases of symptomatic and asymptomatic subjects suspected of COVID-19, where all three rRT-PCR methods were evaluable, CDC test results differed the most, with 144 discordant results with Roche and 119 with Panther rRT-PCR tests."
PANTHER,PANTHER,0,False,PMC11877999,Roche and Panther test results differed in 67 cases.
