resource_name,matched_term,label,article_topic_match,pmcid,paragraph_text
ENA,ENA,0,False,PMC12006116,The objective of this study is to explore whether metagenomic next-generation sequencing (mNGS) and Epithelial Neutrophil Activating Peptide-78 (ENA-78) assays in the amniotic fluid (AF) of patients with preterm labor (PTL) could be employed for diagnosing intra-amniotic infection/inflammation (IAI/I) and predict the outcomes of emergency cerclage in women with cervical insufficiency(CI).
ENA,ENA,0,False,PMC12006116,AF samples from 40 patients were subjected to PTL were subjected to mNGS and microbial culture to diagnose intra-amniotic infection known as microbial invasion of the amniotic cavity (MIAC); ELISA was used to analyze ENA-78 levels for prediction of intra-amniotic inflammation (IAI).
ENA,ENA,0,False,PMC12006116,"Pregnancy outcomes were compared, the predictive performance of mNGS and ENA-78 were assessed to evaluate the efficacy of emergency cervical cerclage."
ENA,ENA,0,False,PMC12006116,AF ENA-78 levels were significantly higher in IAI patients than in non-IAI/I patients.
ENA,ENA,0,False,PMC12006116,"ENA-78 demonstrated certain accuracy in identifying IAI, with sensitivity and specificity of 73.3% and 100%, respectively."
ENA,ENA,0,False,PMC12122565,"We tried to enhance the performance of the AST by also considering multiple parameters, the best performing of which (i.e., Na at 120 min, namely at the end of the AST - eNa) was selected and combined with other variables through logistic regression models."
ENA,ENA,0,False,PMC12122565,"aNa was defined as follows: aNa = eNa - (k*V2), with eNa being the sodium value (measured in mmol/L) at the end of the AST, V2 being the second considered variable and k a model-specific coefficient derived from the linear regression model (Table 4 )."
ENA,ENA,0,False,PMC12122565,Table 4 Logistic regression models created with glm function (see methods) and derivation of an adjusted sodium value (aNa): sodium value at the end of the arginine stimulation test (eNa) was combined with a second predicting variable (V2).
ENA,ENA,0,False,PMC12122565,** PPHS = 1 if the signal is present and PPHS = 0 if the signal is absent V2 Linear regression model* Derived formula for adjusted Na (aNa) k value aNa cut-off for AVP-D Copeptin peak after arginine stimulation (CP) Y = (24.0*eNa)- (15.2*CP) - 3336.7 aNa = (Y + 3336.7)/24 = = eNa - (0.63*CP) 0.63 mmol/pmol ≥ 139 mmol/L Urinary osmolarity at the end of arginine stimulation test (eUOsm) Y = (90.9*eNa)- (0.7*eUOsm) - 12515.2 aNa = (Y + 12515.2)/90.9 = = eNa - (0.007*eUOsm) 0.007 mmol/mOsm ≥ 138 mmol/L Presence of posterior pituitary hyperintense signal in T1 images** (PPHS) Y = (43.6*eNa)- (43.6*PPHS) - 6122.6 aNa=(Y + 6122.6)/43.6 = = eNa - (1*PPHS) 1 mmol/L ≥ 140 mmol/L
ENA,ENA,0,False,PMC12122565,Logistic regression models created with glm function (see methods) and derivation of an adjusted sodium value (aNa): sodium value at the end of the arginine stimulation test (eNa) was combined with a second predicting variable (V2).
ENA,ENA,0,False,PMC11953058,"However, the effect of PVP on renal functions remains unknown."
ENA,ENA,0,False,PMC11953058,We investigated the acute administration of low MW of PVP on renal functions and whether it produces a toxic effect on the kidney.
ENA,ENA,0,False,PMC11953058,Renal clearance experiments were performed in rats and showed PVP infusion elicited significant diuretic and natriuretic effects.
ENA,ENA,0,False,PMC11953058,"Urine volume, absolute (ENa), and fractional (FENa) Na + excretion were significantly increased."
ENA,ENA,0,True,PMC11940043,"In T1D, rats were treated with Enalapril (Ena) or Losartan (Los) for six weeks, whereas T2D animals received high-dose (HD) or low-dose (LD) Ena for 8 weeks."
ENA,ENA,0,True,PMC11940043,"Results: Diabetic hearts exhibited reduced contractile performance that was improved by RAS inhibition both in vivo (ejection fraction (%): T1D model: Control: 79 ± 7, T1D: 54 ± 11, T1D + Ena: 65 ± 10, T1D + Los: 69 ± 10, n = 18, 18, 15, 10; T2D model: Control: 73 ± 8, T2D: 52 ± 6, T2D + LDEna: 62 ± 8, T2D + HDEna: 76 ± 8, n = 9, 8, 6, 7) and ex vivo (+dPressure/dt max (mmHg/s): T1D model: Control: 2532 ± 341, T1D: 2192 ± 208, T1D + Ena: 2523 ± 485, T1D + Los: 2643 ± 455; T2D model: Control: 2514 ± 197, T2D: 1930 ± 291, T2D + LDEna: 2311 ± 289, T2D + HDEna: 2614 ± 268)."
ENA,ENA,0,True,PMC11940043,Analysis of Ca 2+ i transients showed impaired Ca 2+ i release and removal dynamics and increased diastolic Ca 2+ i levels in both models that were restored by Ena and Los treatments.
ENA,ENA,0,True,PMC11940043,"We observed a decrease in sarcoendoplasmic reticulum Ca 2+ -ATPase2a (SERCA2a) expression, accompanied by a compensatory increase in 16Ser-phosphorylated phospholamban (P-PLB) in T2D that was prevented by both LD and HD Ena (expression level (% of Control): SERCA2a: T2D: 36 ± 32, T2D + LDEna: 112 ± 32, T2D + HDEna: 106 ± 30; P-PLB: T2D: 557 ± 156, T2D + LDEna: 129 ± 38, T2D + HDEna: 108 ± 42; n = 4, 4, 4)."
ENA,ENA,0,True,PMC11940043,"RAS inhibition with Ena or Los mitigates these disturbances independent of blood pressure effects, underlining their importance in managing diabetic heart failure."
ENA,ENA,1,True,PMC12117967,The data can be accessed at https://www.ebi.ac.uk/ena/browser/view/PRJEB86263 .
ENA,ENA,1,True,PMC12117967,"The next-generation sequencing data set associated with this study is available in the European Nucleotide Archive (ENA) under the accession number ERP169623, project PRJEB86263."
ENA,ENA,1,True,PMC11701661,"The European Nucleotide Archive (ENA, https://www.ebi.ac.uk/ena ), maintained at the European Molecular Biology Laboratory's European Bioinformatics Institute (EMBL-EBI) provides freely accessible services, both for deposition of, and access to, open nucleotide sequencing data."
ENA,ENA,1,True,PMC11701661,The European Nucleotide Archive( 1 ) (ENA; https://www.ebi.ac.uk/ena ) was established in the early 1980s.
ENA,ENA,1,True,PMC11701661,"The ENA database is a founding member of the International Nucleotide Sequence Data Collaboration (INSDC) ( 3 ), a long-standing global data exchange initiative."
ENA,ENA,1,True,PMC11701661,"The ENA engages with the scientific community, together with our partners in the National Institutes of Health-National Library of Medicine (NIH-NLM) National Center for Biotechnology (NCBI) ( 4 ) in the United States and the Research Organization of Information and Systems (ROIS) DNA DataBank of Japan (DDBJ) ( 5 ), as trusted custodians of freely available public nucleotide sequence data."
ENA,NCBI,1,True,PMC11701661,"The ENA engages with the scientific community, together with our partners in the National Institutes of Health-National Library of Medicine (NIH-NLM) National Center for Biotechnology (NCBI) ( 4 ) in the United States and the Research Organization of Information and Systems (ROIS) DNA DataBank of Japan (DDBJ) ( 5 ), as trusted custodians of freely available public nucleotide sequence data."
DDBJ,DDBJ,1,True,PMC11701661,"The ENA engages with the scientific community, together with our partners in the National Institutes of Health-National Library of Medicine (NIH-NLM) National Center for Biotechnology (NCBI) ( 4 ) in the United States and the Research Organization of Information and Systems (ROIS) DNA DataBank of Japan (DDBJ) ( 5 ), as trusted custodians of freely available public nucleotide sequence data."
ENA,ENA,1,True,PMC11701661,"Since its foundation, the ENA has developed into a globally critical data platform for the coordination of nucleotide data, and is used in over 90% of the world's countries."
ENA,ENA,1,True,PMC12131305,ERR14252058; European Nucleotide Archive (ENA)].
ENA,ENA,1,True,PMC12131305,"The data generated in the present study may be found in the European Nucleotide Archive (ENA), under accession no."
ENA,ENA,0,True,PMC11979468,Figure 1 Design and screening of ENA-ASO candidates that target human MAPT exon 10 (A) Schematic diagram of human MAPT exon 10 and the flanking intronic regions with the ENA-ASO annealing sites indicated by lines over the complementary sequence.
ENA,ENA,0,True,PMC11979468,(A) Schematic diagram of human MAPT exon 10 and the flanking intronic regions with the ENA-ASO annealing sites indicated by lines over the complementary sequence.
ENA,ENA,0,True,PMC11979468,"Based on the antisense potencies and diversity of targeted sequences, three ENA-modified ASOs (EN-02, 03, and 06) that induced skipping of MAPT exon 10 in vitro were arbitrarily chosen for in vivo screening."
ENA,ENA,0,True,PMC11979468,"We compared the in vitro efficiency of tau splicing among four ENA-modified ASOs (EN-Ctrl, EN-03, EN-05, and EN-06) and four MOE-modified ASOs (MO-Ctrl, MO-03, MO-05, and MO-06) targeting the same sequences."
ENA,ENA,1,True,PMC12041916,"To assess potential artifacts in the quality of GISAID data, we performed an initial exploratory analysis of raw sequencing reads obtained via the European Nucleotide Archive (ENA)."
GISAID,GISAID,1,True,PMC12041916,"To assess potential artifacts in the quality of GISAID data, we performed an initial exploratory analysis of raw sequencing reads obtained via the European Nucleotide Archive (ENA)."
ENA,ENA,1,True,PMC12041916,"For GISAID data, genomes were placed on a tree dated to the survey date (15 June 2022), while for ENA data, consensus sequences inferred through our pipeline were placed on a tree dated to the last input record (11 March 2022)."
GISAID,GISAID,1,True,PMC12041916,"For GISAID data, genomes were placed on a tree dated to the survey date (15 June 2022), while for ENA data, consensus sequences inferred through our pipeline were placed on a tree dated to the last input record (11 March 2022)."
ENA,ENA,1,True,PMC12041916,"b) ENA dataset (3-fold random subset), with lineages assigned running pangolin v4.3 on consensus sequences reconstructed from read mappings (see Materials and methods ), as no lineage metadata is provided in database records."
ENA,ENA,1,True,PMC12041916,"To evaluate the reliability of GISAID-derived data, we compared its consensus sequences to corresponding raw reads from the ENA."
GISAID,GISAID,1,True,PMC12041916,"To evaluate the reliability of GISAID-derived data, we compared its consensus sequences to corresponding raw reads from the ENA."
ENA,ENA,1,True,PMC12041916,"We also extend our acknowledgment to all contributors and submitters of raw reads hosted by the ENA and other members of the International Nucleotide Sequence Database Collaboration, which are also integral to this study."
ENA,ENA,1,True,PMC11984142,"The F. fastidiosum SGP1 and F. nucleatum ATCC 25586 genome sequences, corresponding gene annotations, and the raw read data are available in GenBank/ENA under BioProject accession number PRJEB82993 ."
ENA,ENA,1,True,PMC12060665,The genome sequence data of strain 22-10884_313#20 has been deposited at ENA under accession number GCA_964417475.1 .
ENA,ENA,1,True,PMC12116750,"The raw data are deposited in the European Nucleotide Archive (ENA) database under study accession PRJEB77885 42 with accession numbers of Illumina DNA short reads (ERR14104108), RNA (ERR14104109), Hi-C short reads (ERR14104110) and PacBio reads (ERR14104112)."
ENA,ENA,1,True,PMC11698422,"Data from single cell experiments (17) were previously deposited to ENA (https://www.ebi.ac.uk/ena): PRJEB20144 (WGS) and PRJEB20143 (RNA)."
EGA,EGA,1,True,PMC11698422,"All sequence data from patient 499 (20) samples were previously deposited into the EGA Sequence Read Archive (https://ega-archive.org) under accession number EGAS00001000942."
EGA,EGA,1,True,PMC11698422,"RNA sequencing data from patient A21 (19) were previously deposited into the EGA Sequence Read Archive under accession number EGAS00001001659."
ENA,ERA,0,False,PMC12145179,Background: The 2022 European Society of Cardiology/European Respiratory Society (ESC/ERS) pulmonary hypertension guidelines recommend initial combination of endothelin receptor antagonist (ERA) and phosphodiesterase type-5 inhibitor (PDE5i) in patients with pulmonary arterial hypertension (PAH) at low to intermediate risk without cardiopulmonary comorbidities.
